job_id,host_oar,cigri_oar,submission_time_oar,start_time_oar,stop_time_oar,processor,job_type_oar,job_user_oar,resource_ids_oar,nb_resources,psetmin,psetmax,runtime_oar,number_of_RAPL_observation,max_amp_spec,dom_perdiod,dom_freq,energy_mean,energy_var,energy_coef_var,auto_correlation,significance_level,total_energy_consumption
3870721,61,0,1562010119,1562010172,1562016615,2,PASSIVE,liyub,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",16,1,16,6443,107,0.01578363906639933,108,-1,5.765173926411781,0.03685695926796016,0.0063930350997926915,NA,0.18947687010702005,61687361012.606064
3870721,70,0,1562010119,1562010172,1562016615,1,PASSIVE,liyub,"17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",16,17,32,6443,107,0.0011446103384267854,2.842105263157895,-1,5.79229982560776,0.02382090226482205,0.0041125119524217015,0.1331029625887873,0.18947687010702005,61977608134.00303
3870721,70,0,1562010119,1562010172,1562016615,2,PASSIVE,liyub,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",16,1,16,6443,107,0.005501841604405452,2.9189189189189193,-1,6.182722354243982,0.041384411533281075,0.006693558138652908,0.26310637175560514,0.18947687010702005,66155129190.41061
3870721,71,0,1562010119,1562010172,1562016615,1,PASSIVE,liyub,"17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",16,17,32,6443,107,0.0015584245589465283,2.9189189189189193,-1,5.961510103619229,0.030206931796629744,0.005066993307331834,0.12339428362615261,0.18947687010702005,63788158108.72575
3870721,71,0,1562010119,1562010172,1562016615,2,PASSIVE,liyub,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",16,1,16,6443,107,3.3827072697678975e-4,108,-1,6.212808540451571,0.016603966784771853,0.002672537979669499,NA,0.18947687010702005,66477051382.83182
3870722,53,0,1562010132,1562010144,1562064640,1,PASSIVE,cfalvo,"17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",16,17,32,54496,894,0.389739879015511,900,-1,5.4019272304905765,0.16011504880936314,0.029640356483443833,NA,0.0655510015477141,482932294405.8576
3870722,53,0,1562010132,1562010144,1562064640,2,PASSIVE,cfalvo,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",16,1,16,54496,894,1.6165514435199706,900,-1,6.1043242863218765,0.17380544744223633,0.02847251215530716,NA,0.0655510015477141,545726591197.1758
3870753,58,0,1562010460,1562010492,1562064824,1,PASSIVE,cfalvo,"17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",16,17,32,54332,891,0.7104175631447207,900,-1,5.552749476910094,0.27606616366704784,0.04971702123695823,NA,0.06566126403362918,494749978392.6894
3870753,58,0,1562010460,1562010492,1562064824,2,PASSIVE,cfalvo,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",16,1,16,54332,891,0.6676487367663795,900,-1,6.109983075584748,0.2839188835479417,0.046468031095285744,NA,0.06566126403362918,544399492034.601
3870769,59,0,1562010655,1562010686,1562018959,1,PASSIVE,cfalvo,"17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",16,17,32,8273,138,0.0543661001857985,144,-1,5.322373898853755,0.18180936971026074,0.03415945087011189,NA,0.16684321418916598,73448759804.18182
3870769,59,0,1562010655,1562010686,1562018959,2,PASSIVE,cfalvo,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",16,1,16,8273,138,0.029452675832749537,144,-1,4.903213047472002,0.14796399323628892,0.03017694556686175,NA,0.16684321418916598,67664340055.11364
3870798,47,0,1562016509,1562016510,1562025534,1,PASSIVE,liyub,"17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",16,17,32,9024,150,8.400815405574409e-4,2.8846153846153846,-1,5.747285606053738,0.02178075564812443,0.003789746524025585,0.11947989038608445,0.16003038921184362,86209284090.80606
3870798,47,0,1562016509,1562016510,1562025534,2,PASSIVE,liyub,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",16,1,16,9024,150,5.283280820058409e-4,4.054054054054054,-1,6.172784441403031,0.02384280331196322,0.0038625685925530095,0.09073543023629588,0.16003038921184362,92591766621.04546
3870798,52,0,1562016509,1562016510,1562025534,1,PASSIVE,liyub,"17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",16,17,32,9024,150,0.0015738972293558155,4.054054054054054,-1,6.121655226166162,0.026482713813033538,0.0043260707822676565,0.16004053563227397,0.16003038921184362,91824828392.49243
3870798,52,0,1562016509,1562016510,1562025534,2,PASSIVE,liyub,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",16,1,16,9024,150,9.112527198078748e-5,4.054054054054054,-1,6.207109854599495,0.01706750771556322,0.002749670638246578,0.01784028068242664,0.16003038921184362,93106647818.99243
3870799,46,0,1562016517,1562016538,1562025849,1,PASSIVE,liyub,"17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",16,17,32,9311,155,0.003425647615197311,160,-1,6.205116121294233,0.05618422723490672,0.009054500534179865,NA,0.15742809563353294,96179299880.06061
3870799,46,0,1562016517,1562016538,1562025849,2,PASSIVE,liyub,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",16,1,16,9311,155,0.0028624676228251413,160,-1,6.190719230042913,0.04930557506877514,0.007964434056304854,NA,0.15742809563353294,95956148065.66515
3870799,54,0,1562016517,1562016538,1562025849,1,PASSIVE,liyub,"17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",16,17,32,9311,155,0.01003744188835361,160,-1,6.19123343035435,0.07536358863790071,0.01217262916762409,NA,0.15742809563353294,95964118170.49243
3870799,54,0,1562016517,1562016538,1562025849,2,PASSIVE,liyub,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",16,1,16,9311,155,0.015083836075724973,160,-1,5.860861306117302,0.07188287492849472,0.012264899504355551,NA,0.15742809563353294,90843350244.81818
3870799,55,0,1562016517,1562016538,1562025849,1,PASSIVE,liyub,"17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",16,17,32,9311,155,0.006044924303543102,160,-1,5.5998981579120235,0.05848838703120468,0.010444544772402191,NA,0.15742809563353294,86798421447.63637
3870799,55,0,1562016517,1562016538,1562025849,2,PASSIVE,liyub,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",16,1,16,9311,155,0.016355498783126973,160,-1,6.037685519061584,0.0757944250787162,0.012553556298920429,NA,0.15742809563353294,93584125545.45454
3870806,61,0,1562016648,1562016649,1562025908,1,PASSIVE,liyub,"17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",16,17,32,9259,154,0.0016560472663381877,2.7586206896551726,-1,6.123336927541814,0.015910477782728912,0.002598334530828455,0.23684600461801975,0.15793839874050605,94299388684.14394
3870806,61,0,1562016648,1562016649,1562025908,2,PASSIVE,liyub,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",16,1,16,9259,154,0.001926254385451071,4,-1,5.7779941265574575,0.01924634478259765,0.0033309734072133204,0.37063170288108993,0.15793839874050605,88981109548.98485
3870806,70,0,1562016648,1562016649,1562025908,1,PASSIVE,liyub,"17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",16,17,32,9259,154,1.9583829993969942e-4,4,-1,5.790943738929063,0.009659491526649251,0.0016680340825475902,0.16368985529877017,0.15793839874050605,89180533579.50757
3870806,70,0,1562016648,1562016649,1562025908,2,PASSIVE,liyub,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",16,1,16,9259,154,7.185132334552443e-4,160,-1,6.198891727362259,0.016175654964274814,0.0026094430546148364,NA,0.15793839874050605,95462932601.37878
